Root Card|Desc
w10|On the Ten of Wands, we see a bent figure trying to carry ten heavy poles. They are ranged so closely in front of him that he can't even see where he's going. Nothing exists for this man except his burdens and responsibilities. How true this is for so many today! We take on so much, trying to do all the things that need to be done. We think that if we can hang on until the weekend (or vacation, or end of the semester) then we can finally relax. The weekend comes, and the overload continues.In readings, the Ten of Wands can be a sign that you are pushing yourself too hard. If your days are an endless round of duties and tasks, then you need to lighten up for the sake of your health and well-being. Cut back, and take on only those activities that give you pleasure. If you love your work, but it's all-consuming, you may be too narrowly focused in one area. Balance your life with other interests.The Ten of Wands can also stand for times when you have to assume the lion's share of responsibility. You may be blamed or left holding the bag. On the other hand, you may have to step forward and take charge because you are the only one capable enough. Rightly or wrongly, the cleanup will fall to you.The Ten of Wands indicates that your life is going to be tougher than usual for a time. You will have to fight uphill for every little gain. Each step will feel like a struggle. When you see this card, be kind to yourself. Lighten the load wherever you can, and let others help you. You don't have to handle everything yourself.
wpg|The Page of Wands is a messenger bringing you opportunities for passion. He delivers real chances to experience creativity, courage, charm and inspiration - the wonders of the Wands suit. In readings, this Page suggests that an opening may appear that excites you, feeds your talents, or dares you to be great. When you see such a chance, act on it!The Page of Wands can also stand for a child or young-at-heart adult whose interactions with you involve independence, high energy, risky behavior, or shared enthusiasms. Sometimes the Page of Wands implies that your entire situation is suffused with the spirit of excitement and adventure. At such times, feel free to express your individuality and power with light-hearted abandon.
wkn|"On the positive side, the Knight of Wands is full of energy and life. He's never afraid to try something new and will reach for all the gusto he can. Others may shake their heads at his crazy stunts, but they still admire his courage and passion. He's sexy and irresistible...always the charmer. On the negative side, this Knight is a little too sure of himself and his abilities. He tends to be shallow and thoughtless. Don't expect a deep commitment from him. He's also reckless and irresponsible. He acts without thinking and constantly gets in trouble because of his temper.In readings, a Knight of Wands shows that his confident, passionate style is involved in the situation as an aspect of you, someone else or the atmosphere in general. You need to ask yourself, ""Is this Knight's energy helping or hurting?""If his style is evident, then balance is needed. Is your confidence really cockiness? Are you angry and impatient all the time? Are you crazy about someone whom you know is going to break your heart? Is your company rushing into something risky with no preparation? It may be time for a change.If this Knight's energy is missing, a dose of passion and daring may be called for. Are you in a rut? Try something new. Are you always planning every last detail? Wing it next time. Are you working too hard? Go out and have some fun. Let the Knight of Wands introduce you to his world of adventure, excitement and risk."
wqn|The personality of the Queen of Wands combines the positive fire energy of the Wands suit with the inward focus of a Queen. She is the one voted most popular in her class. She is always attractive and often good-looking in the classical sense. Her warm smile and easygoing manner bring her lots of friends and admirers. Her energy is contagious, and her enthusiasm, total. No matter what the task, she tackles it with wholehearted dedication and commitment. Nothing gets her down. She is always upbeat and cheerful - ready to look for the positive in the situation. Her life is full and busy, and she prefers it that way. She loves to be going and doing. She keeps up this pace because she is radiantly healthy and fit. She is often a good athlete, being naturally strong and coordinated. Although she's never arrogant, the Queen of Wands has a deep faith in her own abilities. Her quiet self-assurance comes from the knowledge that she can accomplish whatever she sets her mind to.In readings, the Queen of Wands asks you to think and feel as she does. For example: Do you feel attractive? Do you believe in yourself? Are you full of energy? Can you shake off the blues? Are you gung ho about life?This Queen can also represent a man or woman who is like her, or an atmosphere of cheerful and confident enthusiasm. In a reading, she tells you that her special energy has meaning for you at this time. Let yourself be inspired by this Queen in whatever form she appears in your life.
wkg|The personality of the King of Wands is a combination of the positive fire energy of the Wands suit and the active, outward focus of a King. He is creative and never settles for old, tired approaches. He trusts his originality and allows his inspirations to take form. He's enthusiastic. He steps forward and takes the lead if the opportunity presents itself. Others follow when he shows them the way with confidence. He's forceful in pursuing his goals. He's not a quiet, passive observer unless that suits his purposes. He jumps in and creates results. He's dramatic and exciting. This King is never a wallflower, more often the center of attention. He's bold and daring. He avoids the safe, easy route because he has the energy and assurance to take risks and win. The King of Wands has the courage of his convictions and always believes in himself.In readings, the King of Wands asks you to take the kinds of actions he might take. For example: creating a masterpiece, leading the way, taking a risk, or making a splash. This King can also represent a man or woman who is acting as he does, or an atmosphere of excitement, daring and drama. In a reading, he tells you that his special energy has meaning for you at this time. Let yourself be inspired by this King in whatever form he appears in your life.
titlec|-
ca|The Ace of Cups shows is a symbol of possibility in the area of deep feelings, intimacy, attunement, compassion and love. In readings, it shows that a seed of emotional awareness has been planted in your life although you may not yet recognize it. When the seed sprouts, it could take almost any form. It might be an attraction, strong feeling, intuitive knowing, or sympathetic reaction. On the outside, it could be an offer, gift, opportunity, encounter or synchronistic event.When you see this Ace, examine your life to see how its loving energy could work for you. This card often means that love is the essence of the situation. It may or may not be romantic love. Look for ways in which you can begin to connect with others. Do you have someone to forgive, or do you want to ask for forgiveness? Can you set aside your anger and find peace? Would you like to drop your reserve and let your feelings show? The Ace of Cups tells you that your time is coming.This card also suggests inner attunement and spirituality. Cups are the suit of the heart, and the Ace stands for the direct knowing that comes from the heart. Trust what your feelings are telling you. Seek out ways to explore your consciousness and your connections with Spirit. Allow the power of your emotions to guide you in a new direction. Embrace the love that is the Ace of Cups.See also Lesson 13.
c2|"To understand the 2 of Cups, all you have to do is look at its image. A man and a woman are gazing at each other, ready to share their cups (emotions). Here is the very picture of romantic and sexual attraction. The energy between these two is almost palpable. The Two of Cups shows the beauty and power that is created when two come together. This is the card that lovers want to see, and, in fact, the Two of Cups is the minor arcana equivalent of the Lovers in many ways.The Two of Cups has a deeper meaning as well. Whenever two forces are drawn together, there is the potential for bonding. This card can stand for the union of any two entities - people, groups, ideas, or talents. In readings, the Two of Cups tells you to look for connections in your life, especially those that are one-on-one. Now is not the time to separate or stay apart. It is the time to join with another and work as a partnership. If you are in conflict, look for truce and the chance to forgive and be forgiven. If you are struggling with two choices or tendencies within yourself, seek to reconcile them.Usually, the Two of Cups is welcome in a reading, but it can also sound a note of warning. The energy of Two can be very compelling. If you have ever stood next to two people in love, you know what I'm talking about. They create between themselves a world of their own that can feel exclusionary to outsiders. ""Two's company; three's a crowd."" Make sure that the tendency to pair off is not creating disharmony in your situation."
c3|There are three cards in the tarot that focus on the group - each from a different point of view. For the Hierophant, it's the formal approach. For the Three of Pentacles it's teamwork, and for the Three of Cups, it's emotions. What does it feel like to join with others? What is friendship and community? These are the questions answered by the Three of Cups.On this card, we see three women dancing together in a circle. Their arms reach out to each other to connect their feelings (Cups). In many settings, women create and nurture the social glue that bonds people together. These dancing women are a symbol of coming together in love. (Of course, these feelings do not only relate to woman.)In readings, the Three of Cups can signify a friend or the feelings associated with friendship. This card can represent community - the network of support created when we interact with others. It can be any group in which the members feel a bond. When you see the Three of Cups, examine your attachments to the groups in your life from an emotional point of view. Consider reaching out to give or receive help. This card stands for all forms of support, including formal aid such as counseling and other social services.The women on the Three of Cups also express joy and high spirits. Such feelings are not limited to groups, but can be especially strong there. Celebrations spontaneously arise when people feel connected, loved and secure. The Three of Cups can stand for a mood or experience that makes you feel like dancing and singing.
c4|Those who enjoy kayaking and other river sports know that there are areas of the river where the water flows in a dangerous circular motion. Instead of moving forward, it turns back on itself. In the same way, we can get stuck in emotional hydraulics. The Four of Cups represents such periods of self-absorption.If you are self-absorbed, you tend to refer everything back to yourself - your own interests and desires. On this card, we see a man who is unaware of the cup being offered to him. He misses this gift because he's turned within. In readings, the Four of Cups can indicate that you are wrapped up for the moment in your own world.In some situations, you must focus on yourself. When life is too stressful, you need to devote time and energy to yourself or you will feel swamped. The Four of Cups can represent a positive period of self-reflection and renewal. By taking the time to go within to dream, muse and reflect, you restore your emotional balance.The Four of Cups is sometimes a sign of apathy. You don't really care much about anything. Your life seems stale and flat because you've lost interest in the activities that used to bring you pleasure. You're not motivated to make much of an effort in any direction. At such times, the Four of Cups can show that you're stuck emotionally. You need something to focus on that will so engage your mind and heart that your path down river becomes clear again. Open yourself to your surroundings. Soon you will be on your way again.
c5|"The Five of Cups is about loss. On this card, we see a figure draped in black and covered in grief. He so dominates the card that it is hard to look beyond him. The Five of Cups refers to that time when the pain of a loss is most acute. This man is looking only at the overturned cups in front of him. For now, he cannot acknowledge the two cups that are still standing. Later, when he has healed somewhat, he will be able to see all that remains.In readings, the Five of Cups can alert you to the possibility of a loss and its associated emotions - sorrow, regret, denial. The loss could be great or small. It could be tangible (money, possession, relationship, work), or intangible (dream, opportunity, prospect, reputation). You may already know what this card represents, but, if not, use it as a warning to help you avoid a loss, or at least reduce its toll.You may feel discouraged by this card, but it does have a positive side. Every loss opens new possibilities for growth because every loss initiates change. Loss hurts because it is our emotional resistance to change. No matter how much we accept intellectually that we must go with the flow, if that flow separates us from what we love, our feelings say, ""No!""In a story from Zen Flesh, Zen Bones, the master Hakuin is falsely accused of fathering a child. His reputation in the village is ruined, but he accepts this loss and takes tender care of the child for a year. Suddenly, the real father appears, and Hakuin willingly yields the child to its parents, accepting loss again. We who are not Zen masters may not flow quite so lightly with events, but we can learn from this story. The more we struggle to hold on to what is gone, the more we suffer."
c6|In the film Parenthood there is a scene in which all the members of a large family come together to witness a birth. As the camera moves from person to person, we see as if for the first time the uniqueness of each one. The people talk and laugh, but suddenly their actions seem anything but ordinary. There is a sweetness in the air that builds until we see its very embodiment - the new baby. This is the spirit of the Six of Cups.It is a truism that there is violence, anger and mean-spiritedness in the world. Certainly there is enough of this, but there is also much good will and caring. A mother hands a drink to her child. A friend lends his car for the weekend. A worker fills in for a sick colleague. Small gestures, barely noticed, but so important. The Six of Cups is a card of simple goodness. It encourages you to be kind, generous and forgiving.The Six of Cups also represents innocence - a word with many shades of meaning. You can be innocent in the strictly legal sense of lack of guilt. You can be innocent of the truth - unaware of some secret. You can be lacking in deceit or corruption - innocent of ulterior motive. Finally, you can be virtuous or chaste. These are all possibilities that can apply to the Six of Cups, depending on the situation.Notice that the two figures on the Six of Cups appear to be children. Often this card represents a baby or young child. In a larger sense, it embraces all of childhood and the feelings we associate with youth (ideally!) - being carefree, playful, secure and loved. Children are our treasure, and the sweetness of the Six of Cups is a quality to be treasured as well.
c7|"As I gaze around the room right now, taking in the casual disarray, I know the Seven of Cups speaks to me - for better or worse. It says, ""Yes, order and hard work are nice, but ... isn't it more fun to just let everything go?"" Letting everything go is what the Seven of Cups is all about.It is easy to worship the gods of efficiency and neatness. We like trim lawns, alphabetized filing systems and time management - the world of the Emperor. We admire order in all its forms and want everything to be just right. The Seven of Cups provides the balance. This card stands for all that is sloppy, impractical and lax.When the Seven of Cups appears in a reading, it is important to look carefully at how disordered your situation is. Is everything too controlled and regular? Perhaps you need to let things fall apart a little. When a rigid system breaks up, there can be a tremendous release of creativity. The man on the Seven of Cups is amazed by all the options he has.On the other hand, if you are in a chaotic situation, some tightening may be necessary. No one is happy and productive in a crazy environment. Regularity gives structure to life. Taken to an extreme, the looseness of the Seven of Cups can lead to harmful patterns of decadence, addiction and self-indulgence.Sometimes the laziness applies to your thoughts and dreams. It is easy to wish for something, but not so easy to make that wish come true. When you see this card, make sure that you are backing up your plans with work and effort. Tighten up your life and commit yourself to doing what it takes to reach your goals ... even if it means (sigh) cleaning house."
c8|A psychologist friend once told me that when a group is ready to break up, the members give off subtle signs to that effect. They display a certain restlessness. They arrive late to meetings, communicate less and seem distracted. At some level the participants know it is time to move on, but they need a while to work up to that final step. This process applies in many situations where an ending is approaching. Nothing is permanent in life. Sooner or later, everything slips away...or we slip away from it. The Eight of Cups stands for those moments when we realize, once and for all, that the past is gone. What was true is no longer true. The signs of change are in our face, and we must accept them. It is time to move on.Moving on can mean a physical change such as leaving a job, location or relationship. It can also mean an inner change - releasing old patterns, especially those that have dominated our thoughts and emotions. On the Eight of Cups, we see a man leaving on a journey. He has turned away from his old feelings (cups/river) to strike out on a new path. Sometimes moving on can mean searching for a deeper truth or reality. One day we wake up and realize that we have been asleep in our own lives - living a dream that no longer satisfies.Some changes can be wearying. Endings are not always easy. One of the signs of a readiness to leave is lack of energy. When you feel tired and dispirited, you know that something is wrong, and it's time for a new direction. Reexamine your life and your priorities. You will find where in your life you need to move on. 
c9|"The man on the Nine of Cups reminds me of ""the cat who ate the canary."" Now, a canary is a pet strictly off limits to hungry felines. Any cat who manages to catch one is going to feel pretty smug about it. This is the feeling tone of the Nine of Cups - pure indulgence and self-satisfaction.At the physical level, the NIne of Cups is a sign of delight in all the senses. Sights, sounds, tastes, feelings. This card encourages you to seek out pleasure and enjoy your body in every way. You can commune with the natural world as well - the body of Mother Earth. She, too, delights in sharing her abundance. At the personal level, the Nine of Cups indicates contentment with the way things are. Notice how the man is seated confidently with his arms folded and a smile on his face. He has everything he wants and couldn't be happier about it. ""See all my cups!"" he seems to say. ""Aren't they great?""Sometimes it's wonderful to sit back and revel in the knowledge that all's right with the world. But a word of caution. You may be tempted to indulge yourself at the cost of someone else (like our mischievous cat!). This may feel great at the time, but sooner or later the feathers around your mouth will be discovered, and regret will set in. Pursuit of pleasure without regard to consequences is never satisfying in the long run.In many tarot traditions, the Nine of Cups is known as the Wish Card. It shows your wish will come true. A wonderful prospect, but remember your fairy tale lessons. You must be sure you know what you really want and accept the responsibilities that go with your wish. If that is the case, then enjoy your good fortune!"
c10|On the Ten of Cups we see a loving couple with their carefree children.  The family home is in the background, surrounded by trees and water. A rainbow of cups is overhead blessing the scene.  A cynic might scoff at this romantic picture, but I see it as a symbol of what our emotional life could be at its best.  The feelings represented here are an ideal that is within the reach of each of us.First, there is joy.  Joy goes beyond happiness, contentment, enjoyment.  It is the feeling that comes when we know at the deepest level that we are one with all that is, and it is good. Unfortunately, this is not exactly a common feeling! Too often we are blinded by the trials of life and overwhelmed by their challenges.  Joy exists, though, and is our birthright.Peace is another aspect of the Ten of Cups - the serenity that comes when all elements are in harmony. There is inner peace and outer peace which are reflections of each other.  When you are in harmony with yourself, you experience harmony in your environment.  When you see the Ten of Cups, know that an end to hostility is possible.  If there is fighting around you, it may cease.  If you are at war with yourself, you may find peace.In readings, this card often signals a time of abundant blessings.  It tells you that you can reach for the fulfillment you deserve, and it will come to you.  Look for ways to realize joy and create peace.  You may find the key to happiness in your family.  Your family is the group of people you are attached to emotionally -  for better or worse!  If there is trouble in your family right now, work to restore harmony.  The time is right for greater closeness.
cpg|The Page of Cups is Cupid bringing you opportunities for love. He delivers real chances to experience romance, deep feelings and the inner life - the wonders of the Cups suit. In readings, this Page suggest that an opening may appear that stirs your emotions, pulls at your heartstrings or brings you great joy. When you see such a chance, act on it!The Page of Cups can also stand for a child or young-at-heart adult whose interactions with you involve emotional needs, moodiness, love, intimacy or spirituality. Sometimes the Page of Cups implies that your entire situation is suffused with the spirit of love and emotion. At such times, feel free to express and enjoy your feelings with light-hearted abandon.
ckn|"On the positive side, the Knight of Cups is a sensitive soul. He is a poet - a lover of all things romantic and refined. He uses his imagination in wondrous ways and taps the deepest levels of emotion. He knows how to create beauty and share it with others. On the negative side, this Knight is prone to flights of fancy and illusion. His melodramatic moods are legendary, and his emotions often get the better of him. He's too temperamental and takes offense easily. He can't stand unpleasantness and will always let others deal with it.In readings, a Knight of Cups shows that his sensitive style is involved in the situation as an aspect of you, someone else or the atmosphere in general. You need to ask yourself, ""Is this Knight's energy helping or hurting?""If his style is evident, then balance is needed. Are your feelings appropriate or excessive? Are your daydreams unrealistic? Is someone's moodiness driving you crazy? Is your home life ruled by emotion rather than common sense? It may be time for a change.If this Knight's energy is missing, a dose of poetry may be called for. Are you too restrained? Express your feelings. Do you always make the most practical choice? Go for the extravagant one instead. Do you avoid introspection? Take some time to look within and think about your life. Let the Knight of Cups introduce you to his world of romance and beauty."
cqn|The personality of the Queen of Cups combines the positive water energy of the Cups suit with the inward focus of a Queen. Because she has a sweet, loving and sensitive nature, the Queen of Cups has a kind word for everyone and never reacts with anger or impatience. There is a gentleness about her that soothes and calms. Compassion is her watchword. Her reactions to the world are guided by her feelings. In all matters, she lets her heart lead the way. She senses emotional currents and knows what others are experiencing without having to ask. She is never moody, but understands moods and their influence. She trusts her intuition and so is more open to knowledge that comes from within herself and beyond. She is often moved by the beauty and tragedy of life. The Queen of Cups feels deeply and has a reverence for all aspects of God's creation. Her love includes and embraces everyone and everything.In readings, the Queen of Cups asks you to think and feel as she does. For example: Are you aware of the emotional climate? Are you feeling loving? Do you trust your heart? Have you received an intuitive message? Have you been moved by another's pain? This Queen can also represent a man or woman who is like her, or an atmosphere of gentle love, acceptance and respect for feelings. In a reading, she tells you that her special energy has meaning for you at this time. Let yourself be inspired by this Queen in whatever form she appears in your life.
ckg|The personality of the King of Cups is a combination of the positive water energy of the Cups suit and the active, outward focus of a King. He is wise and understanding, with a deep knowledge of the world that comes from the heart. He is a teacher and way-shower who guides his students with loving attention. He cares about others sincerely and always responds to their needs with compassion. He heals with a gentle touch and a quiet word. He is calm and relaxed in all situations, seeming to know intuitively what is called for at any moment. Others turn to him for advice because they know he will listen attentively. There is always a peacefulness around him that others respond to. He is tolerant of all points of view and shows patience in the most trying circumstances. He gives others freedom to grow and develop in their own ways without asking anything in return.In readings, the King of Cups asks you to take the kinds of actions he might take. For example: responding calmly in a crisis, using diplomacy rather than force, reaching out to help, or accepting a different point of view. This King can also represent a man or woman who acts as he does, or an atmosphere of caring, tolerance and understanding. In a reading, he tells you that his special energy has meaning for you at this time. Let yourself be inspired by this King in whatever form he appears in your life.
titles|-
sa|The Ace of Swords is a symbol of possibility in the area of intelligence, reason, justice, truth, clarity and fortitude. In readings, it shows that a seed of clear understanding has been planted in your life although you may not yet recognize it. When the seed sprouts, it could take almost any form. It might be a compelling idea, desire for the truth, call to justice, or a need to be honest. On the outside, it could be an offer, gift, opportunity, encounter or synchronistic event.Sometimes this Ace stands for a challenge that will test you in some way. Life never goes smoothly for long. Sooner or later a hurdle shows up, and the Ace of Swords can tell you when one is coming. This card is also a reminder to you to face your challenge, whatever it is, with courage, honesty and a firm resolve. In every challenge, there is opportunity.When you see the Ace of Swords, examine your life to see how its clean, sharp energy could work for you. Think about your problem objectively. Look for situations that are unjust or confusing and resolve to set them right. Above all else, commit to being honest and ethical. This card tells you that you do have the inner resources to overcome all obstacles and find the truth of your situation. That is the promise of the Ace of Swords.See also Lesson 13.
s2|"On the Two of Swords, we see a young woman who has put a barrier of swords across her heart. Her rigid posture tells us of her struggle to keep her feelings under control. She is fending off any approach from the outside. ""Nothing comes in, and nothing goes out,"" she seems to say.The Two of Swords is about the barriers we put up between ourselves and others and those we create within ourselves. Internally, we block off emotions and refuse to feel them. We avoid looking at the truth and pretend that everything's OK. We think one way, but feel another. In countless ways, we divide off parts of ourselves and try to maintain them even when we know they need to be reconciled.In readings, the Two of Swords often appears when you are not willing to accept some truth about yourself or the situation. What are you really feeling? Are you resisting tender feelings because you might be hurt? Are you furious even though you're smiling? What are you refusing to look at? Notice the blindfold on this woman. She can't look at the truth or even acknowledge that there is trouble.The most common barrier is a closed heart. When we cut ourselves off emotionally, we sever the connection that allows our love to flow outward. Sometimes this action is necessary, but it always comes at a great price. Every time we close off our heart, we find it more difficult to open again.Another barrier between people is a deadlocked situation. When two parties are set in their positions - cut off from each other - there is a stalemate. To break it, the ""opponents"" must come out from behind their swords and listen to each other. The lesson of the Two of Swords is that barriers are not the answer. We must stay open if we are to find peace and wholeness."
s3|You open the door to find your partner in the arms of someone else. You overhear your best friend laughing at you behind your back. You find out your business partner has been cheating you for years. All of a sudden your world is turned upside-down. You're stunned, disbelieving and finally heartbroken.The image on the 3 of Swords clearly describes this sudden pain. You literally feel as if someone has taken a sharp object and jabbed it through your heart. Even something as minor as a snippy remark can feel this way. Notice how this contains just a heart and three swords. When your heart is breaking, you feel as if that is all you are - an open wound.In readings, the Three of Swords often represents the nasty little curve balls that life can throw sometimes. Betrayal, abandonment, rejection, separation, a reversal of fortune. These hurts are painful because they hit you when you least expect them. If you have drawn this card, you may know what it refers to, but if not, the Three of Swords is a valuable warning. It is likely there is something amiss in your life that you are unaware of or unwilling to acknowledge. Curve balls hit us when we're looking the other way. Examine your situation carefully. Talk to the people in your life. Don't take anything for granted. Listen to your inner voice; it will help you locate the problem.It is also possible that you are contemplating hurting someone else. With this card I think it is important to remember that each of us is capable of cruelty. We're all human, and we all make mistakes, sometimes serious ones. In the end, all we can do is trust in the goodness of life and try to live up to that ideal. When you slip, forgive yourself, and try to forgive others in turn, but, even better, head off trouble before it arrives.
s4|The Swords cards all stand for trials of some kind, but the Four suggests feelings of peace and stillness. Why is this card different? Because it represents the challenge to be quiet! Sometimes resting and doing nothing is the ultimate challenge. Activity can be a habit that is very difficult to break. There is always so much to do, and modern society beguiles us with its attractions and distractions. The result is we forget to stop and be still.In readings, the Four of Swords is often a sign that you need to slow down and get some rest. If you are recovering from an illness, allow yourself quiet time to heal. Even if you feel completely healthy, you are risking getting sick if you don't take a break.The Four of Swords also represents taking the time to think things over without hurry. It is important to step back and gain perspective. This is especially true when you are facing an ordeal or big event. You need quiet preparation time to gather your strength and center your energy. Picture an Olympic diver on the high board. She doesn't climb the ladder and then dash out. She stops, motionless as she readies herself for the burst of activity to come. This is the only way to bring the best to our endeavors.Sometimes the Four of Swords implies that you are or could be shifting focus from the external to the internal. When we are silent, we can more easily go within. The knight in the picture appears to be praying or meditating deeply. Actually, he appears to be dead! For those who are addicted to activity, rest and quiet can seem like death, but that is certainly not the case. Stillness holds its own rewards, but they must be recognized and sought.
s5|The Five of Swords is about self-interest. Society tells us to think of others, yet we resist. How we can ignore our own concerns and still survive? This dilemma comes from our definition of self. If we view our self as our personality/body, our interests become those that relate to that self. Do I have enough to eat? Am I happy? Do I have all I want?We may expand our concern to those we love, but, then, how can we stop there?  We are connected to everyone in the long run. In truth, our self is the world. What we do to that world, we do to ourselves. This understanding is so basic, but so infuriatingly easy to forget day-to-day.In readings, the Five of Swords can mean that you or someone else is forgetting this larger view of self. You are defining your interests too narrowly. If you try to get ahead in isolation, your actions will come back to haunt you later, one way or the other.Sometimes this card implies a need to put your own interests first. If you are being abused or taken advantage of, you must get free. If you are worn out by demands, take care of yourself. If it is your turn, step forward and claim your due. Just be aware that if you hurt others in the process, your victory will not feel complete.The Five of Swords also represents hostility - from a cross word to warfare. When the cords that bind us are broken, we experience dis-cord. This card can signify dishonors that are fairly open. Cheats, lies, tricks, deceits, even crimes. You may be on the receiving end, or be the perpetrator. Either way, hold to a larger view of who you are. Find the solution that is best for everyone...including yourself. 
s6|"At one point in The Pilgrim's Progress, the hero Christian (who is also on a Fool's Journey) becomes mired in the Slough of Despond. He struggles for a time until drawn out by Help. Help tells him that ""...many fears, and doubts, and discouraging apprehensions...settle in this place.""The Slough of Despond is a good name for the Six of Swords. Sometimes this card represents a dull, listless state. Nothing is seriously wrong, but nothing is really right either. You're getting by, but not thriving. In the picture the figures in the boat seem sad and disengaged. Life is indeed uninteresting when we feel the blues.In a more positive vein, the Six of Swords can indicate recovery. This is especially true when you have just experienced a tough time or psychological blow. During the crisis, you felt numb and disconnected; nothing mattered at all. Now you are beginning to heal and pick up the pieces of your life. The travelers in our boat are at least moving forward. They are headed toward a new place, even if they are not yet ready to eagerly embrace those shores.In fact, the Six of Swords can indicate travel and moves of all kinds. This could mean an actual change of scene, relocation or trip, but not necessarily. A journey can also take place on the inner planes as we move from one frame of mind to another.Although the Six of Swords does not promise great joy, it also avoids the depths of despair. A slough is not a bottomless pit, but simply a hollow or depression. When you see this card, know that even though the situation is not ideal, you are moving toward a more positive place. Change is in the air, and new, more hopeful conditions lie ahead."
s7|"The Seven of Swords is tied to the Five of Swords because both cards involve separation from others. On the Seven we see  a man tiptoeing away from society (the colorful pavilions). He's taken some swords and seems rather pleased with his successful heist. He gives the impression of having secret, solitary plans.This card sometimes represents the ""lone-wolf"" style - the desire to run lone and free. In films, the lone-wolf hero always acts totally on his own. He discovers, investigates and solves every problem using only his own wits and resources. He believes he's successful because he ignores the fumbling efforts of ordinary people.In readings, the Seven of Swords can be a sign that you or someone else wants to be a lone wolf. You feel that you will be more effective and comfortable on your own. This approach is useful when you need to bypass an ineffectual group or assert your independence, but it can also be troubling. We cannot be happy and productive for long without some commitment to others. If you feel inclined to act alone, be sure this isolation is really working for you. Sometimes the Seven of Swords means that you are running from something - commitment, responsibility, hard work, love. You may be procrastinating, letting problems slip because you don't want to deal with them. Sometimes we just have to face what has to be faced. The Seven of Swords lets you know when you might be making things worse for yourself and others by running away.The Seven of Swords can also indicate a hidden dishonor - a choice you or another has made that does not do justice to the highest. We all make wrong choices that we want to hide. Some of these are minor, some serious. Your inner voice will tell you when this is happening. When you see the Seven of Swords, take a good look at what you're doing because hidden dishonors will eat away at your happiness and self-respect."
s8|"The woman on the Eight of Swords is lost and alone. She can't see because she is blindfolded. She can't reach out because she is bound. She can't move freely because she is caught in a prison of swords. It seems she has wandered far from home - her place of security far away on the hill. How can she get back? She doesn't even know which way to go. The Eight of Swords stands for those times when we feel lost, confused and powerless. Help and relief seems very far away.Sometimes we feel restricted by circumstances. We wake up one day in an impossible situation. A dead end job. A troubled relationship. Mountains of debt. How did this happen? We have no idea. Even little problems can make us feel trapped. There just doesn't seem to be a way out. Sometimes life seems fine - on the surface. ""I have everything I want. I should be happy, so what's the problem?"" We just don't know. We're confused and unsure.In readings, the Eight of Swords is often a sign that you are heading toward (or already in) a situation in which you will feel a lack of freedom and choice. Such situations are tricky because the more you get into them, the more restricted you feel. At each step, your options seem to narrow until you feel completely stuck.When you see this card, remember that you do have choices, and you do have power. No matter how trapped you feel, you can find a way out if you believe it is possible. The young girl in the picture could free herself. She could wriggle free, tear off the blindfold, and kick down those swords. Solutions are not always easy, but they exist. Find your clarity of thought and purpose (the Swords ideal) and use them to take that first step toward home."
s9|It makes sense that the figure on the Nine of Swords is in bed because it is during the night that our griefs and regrets come to mind most intensely. The quiet darkness strips away the distractions of the day, leaving us alone with our thoughts. Who has not lain awake at 4 A.M. filled with worries that refuse to go away? The Nine of Swords represents this unhappiness which can strike us at any time.Unlike the pain of the Three of Swords which seems to come from without, the Nine of Swords represents the pain that we generate from within. What tortures we put ourselves through when our fears and doubts overwhelm us. Worry is probably the most common. Have I done enough? Will everything work out OK? What am I going to do? The thoughts go round and round - impossible to turn off.Guilt is another source of pain. When we have done something that we feel is wrong or hurtful - or failed to do something we think we should have - the distress can be very real. It is worse when nothing we do relieves the bad feelings or makes them go away. Finally, there is just pure anguish. Sometimes the pain of life is so total that all we feel like doing is crying into our hands.Needless to say, the Nine of Swords is not the most pleasant of cards, but it doesn't always indicate major distress. Often it is just a sign of some element of unhappiness or trouble - a vulnerable spot in your life. This card is often a warning from your Inner Guide that the path you are going down may be a difficult one. If you approach the Nine of Swords in this spirit - as a caution sign - you will be able to use it constructively. Examine your situation carefully to be sure you are making the best choices. Even a small change can make all the difference.
